,Subject,isspam
14430,~Best Online Pharmacy*~+',spam 
14431,This wi|| run higher with trade vO|ume way up,spam 
14432,Why make oracle m0re mOney,spam 
14433,"makes AD1PEX, XANAAX, TUSSI0NEEX, C1AL1IS, \/AL11UM, AMB11EN, \/11AGRRA FROM $65 my finally",spam 
14434,An exciting c0mpany f0r invest0rs,spam 
14435,test,ham 
14436,girls from work enjoying sex,spam 
14437,Western Issues Update 9-07-2001,ham 
14438,Message subject,spam 
14439,This wi|| run higher with trade vO|ume way up,spam 
14440,Wanna get laid tommorrow?,spam 
14441,Unocal Term Sheet,ham 
14442,PG&E,ham 
14443,Vicodin - Order Meds From Home Now,spam 
14444,RE: Status of Project Hitchcock,ham 
14445,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14446,REVISED - Offsite Presentation,ham 
14447,Move to CommodityLogic,ham 
14448,A great day for a great start to save,spam 
14449,Fed up with overpriced pharmacy costs? Save 80% on retail!,spam 
14450,Last minute Compaq product development,ham 
14451,An exciting c0mpany f0r invest0rs,spam 
14452,RE: NY Alarms,ham 
14453,Credit Reserve for New Power Company Transaction,ham 
14454,FW: California AG's Invesigator/Gray Davis' Customer Contact,ham 
14455,=?utf-8?B?Z29vZCBpZGVh?=,spam 
14456,FW: Kinder Morgan - Sonoran Project,ham 
14457,=*~_Cheap Cialis=:_,spam 
14458,Mike Kim update,ham 
14459,EBS GA Conference Call,ham 
14460,Losing Your Hair? Order Propecia Online for Cheap This Month,spam 
14461,"Finally, a better treatment for ED!",spam 
14462,ENA Monthly Report.xls,ham 
14463,Industry News,spam 
14464,,spam 
14465,Your account has been created.,spam 
14466,Watch this hOt pick fly,spam 
14467,"=?utf-8?q?Current direction to?=
 =?utf-8?q? diminish mass!?=",spam 
14468,*New Jack Rabbit Vibrator,spam 
14469,³×ºñ°ÔÀÌ¼ÇÀÌ ÇÊ¿äÇÏ¼¼¿ä^^¼³¹®¿¡ Âü¿©ÇØ º¸¼¼¿ä..,spam 
14470,Watch this hOt pick fly,spam 
14471,credit,ham 
14472,(±¤°í)ÀÎÅÍ³Ý°¡ÀÔ½Ã 6°³¿ù¹«·á+MP3.DVD.PS2¹Ý°ª.¿Á¼Ç6¸¸¿ø»óÇ°±Ç!!!@ gtowyis,spam 
14473,GTC Firm Point Specific Contract for Torch Energy,ham 
14474,Choose prescripiton drvgs,spam 
14475,3rd Quarter Comparison 00 - 01 ,ham 
14476,Tadalafil Soft Tabs - Great results!,spam 
14477,RE: Status Report and Production Release Note,ham 
14478,"=?iso-2022-jp?Q?=1B$B""(L$>5Bz$H>5Bz9-9p""#=1B(B?=
 =?iso-2022-jp?Q?8=1B$B@iK|1=5F<}F~J}K!Ds6!%a=1B(B?=
 =?iso-2022-jp?Q?=1B$B%k%^%,""##22/1=5F#32/1=5F=1B(B?=
 =?iso-2022-jp?Q?=1B$B#52/#9@iK|1=5F<}F~<TB3=3DP=1B(B?=",spam 
14479,NO Need Drugs To Getan-Erection! ,spam 
14480,"RE: Comments on CalPX letter to FERC, dated Aug. 10, 2001 ",ham 
14481,"Mtg re: consumption band & reconciliation project w/ Murray O'Neil, Kristin Albrecht, Steve Fisher & Chris Stokely",ham 
14482,Crestone Contracts,ham 
14483,CPUC Bi-Weekly Update,ham 
14484,A breathtaking b00st t0 yOur pOrtf0|iO,spam 
14485,=?Windows-1251?B?8eXs6O3g8CDv7iDT0c0=?=,spam 
14486,Invitation to the Canadian Prime Minister's Confederation Dinner,ham 
14487,"new pi,ll to increase org`asm plea,sure",spam 
14488,2002 Operational Costs ,ham 
14489,~+Cheap Cialis=.+-,spam 
14490,User account activated,ham 
14491,cheap oem soft shipping worldwide...armira,spam 
14492,HELP SAVE NIGERIA,spam 
14493,FW: Arthur Anderson LLP,ham 
14494,The cheapest priced Cialas available...save 80% off retail,spam 
14495,PG&E Core - ECC Master Gas Purchase and Sales Agreement ,ham 
14496,assumable M o r t g a g e,spam 
14497,Contact List,ham 
14498,Meet sexy gals from all over the world,spam 
14499,=?ISO-2202-JP?Q?=82=A0=82=E9=88=A4=82=CC=83J=83^=83`=81E=81E=81E=81E_to_bruceg?=,spam 
14500,Consumption Band Documents,ham 
14501,Otc review ana|ysts pick,spam 
14502,Comparison Matrix of FERC Filing Requirements,ham 
14503,FW: Credit Vehicle,ham 
14504,,ham 
14505,"harder ere""ctions and more sp.erm",spam 
14506,FW: Information Requested,ham 
14507,49 piece plastic food storage containers- Smart Spin ,spam 
14508,FW: Glendale's ISDA,ham 
14509,First-class prescripiton pills,spam 
14510,European Vicodin on sale NOW,spam 
14511,Low-priced prescripiton drvgs,spam 
14512,Micr0sOft W0rks 7 clearance,spam 
14513,Re: Free Prescription-Overnight Shipping!,spam 
14514,"Relieve muscle spasms resulting from injuries such as sprains, strains, or pulls",spam 
14515,This wi|| run higher with trade vO|ume way up,spam 
14516,I like internet dating,spam 
14517,Current ana|ysis On hOt pick frOm 0ur watch sheet,spam 
14518,Revised Agenda for Management Committee Offsite,ham 
14519,FW: Direct Access Petition,ham 
14520,An exciting c0mpany f0r invest0rs,spam 
14521,"seasond SYMANNTEC, PC GAMES, MACR0MEDIA, M1CR0S0FT FROM $20 EACH ashur closed",spam 
14522,Why make oracle m0re mOney,spam 
14523,Re: Cancellation of scheduled cargo,ham 
14524,Take p0siti0ns bef0re breaking news expl0siOn,spam 
14525,California Update 9-07-2001,ham 
14526,RE: Update - Power Contract Validation/Reconciliation Project,ham 
14527,First-class prescripiton pills,spam 
14528,RE: Arthur Anderson LLP,ham 
14529,ERV Notification:  (Violation/Notification Memo - 09/05/2001),ham 
14530,"pil""l to impr`ove sper`m flavour and vol`ume",spam 
14531,Your health,spam 
14532,BIg savIngs on meds jedi,spam 
14533,Nymex HO/IPE Gasoil spread description,ham 
14534,The reason to shop online,spam 
14535,pharmjacy,spam 
14536,Industry News,spam 
14537,New product! Cialis soft tabs.,spam 
14538,BIg savIngs on meds jedi,spam 
14539,BIg savIngs on meds jedi,spam 
14540,RE: PG&E Core Master,ham 
14541,"pil""l to improve sper`m flavour and vol'ume",spam 
14542,Prescription Meds Prescribed For Free Online,spam 
14543,"shoot more cu""m than she can drink",spam 
14544,Offsite Presentation,ham 
14545,=?utf-8?B?TG9va2luZyBmb3IgY2hlYXAgaGlnaC1xdWFsaXR5IHNvZnR3YXJlPyAgY2FyYm9uaXplIGplcmtz?=,spam 
14546,Your account has been created.,spam 
14547,NOPR on reporting requirements -- please comment,ham 
14548,RE: TW ROW Alignment,ham 
14549,Buy Cialas the weekend Viagra,spam 
14550,Wellesley College Fall 2001 ,ham 
14551,RE: REVISED - Offsite Presentation,ham 
14552,=?GB2312?B?grGC6oLFgreCqYFI?=,spam 
14553,Displaying Blotter Deals,ham 
14554,Confidentiality Agreements Information,ham 
14555,RE: Multiple Stack Manager,ham 
14556,Increase the volume of your ejaculation.,spam 
14557,Start yOur trading day with a bang,spam 
14558,Message subject,spam 
14559,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14560,"August 2001 ""Riverside Unit""",ham 
14561,,ham 
14562,RE: CTC - Stat(EESO),ham 
14563,test,ham 
14564,Breaking News,spam 
14565,Re: Contact GM Corp - Alternate Fuel Vehicles,ham 
14566,9/6/01 MPR ,ham 
14567,California update 9-06-2001,ham 
14568,Get Vicodine - no prior prescription needed,spam 
14569,Top 1000 popular pharmacy drugsb ,spam 
14570,An exciting c0mpany f0r invest0rs,spam 
14571,Action Requested:  Invoice Requires Coding/Issue Resolution/Approval for User: MICHELLE CASH,ham 
14572,RE: Immigration Filing,ham 
14573,¼³ ¿¬ÈÞ ½Ã°ñ ¸ø°¡½ÅºÐ Å¬¸¯ÇÏ¼¼¿ä!!! qj ,spam 
14574,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14575,Action Requested:  Past Due Invoice,ham 
14576,~Best Online Pharmacy*~+',spam 
14577,Weekly Confirmation Report-See attached,ham 
14578,Offsite Trainings,ham 
14579,49 piece plastic food storage containers- Smart Spin ,spam 
14580,RE: Big day,ham 
14581,This wi|| run higher with trade vO|ume way up,spam 
14582,"shoot bucket loads of s,perm",spam 
14583,Choose the pharmacy that can offfer you more deals ,spam 
14584,"Reception & Dinner, October 24, 01",ham 
14585,An exciting c0mpany f0r invest0rs,spam 
14586,An exciting c0mpany f0r invest0rs,spam 
14587,Choose prescripiton drvgs,spam 
14588,"=?Windows-1251?B?0OXq6+Ds4Dog2MXLys7D0MDUyN8hISEg1PPy4e7r6ughISEg0uDs7+7v5ffg8vwh?=
        =?Windows-1251?B?ISEg0ujx7eXt6OUhISE=?=",spam 
14589,teco_gas_issues.xls,ham 
14590,Watch this hOt pick fly,spam 
14591,A breathtaking b00st t0 yOur pOrtf0|iO,spam 
14592,WestWing,ham 
14593,Datek's September 2001 Insite,ham 
14594,FW: On-Line Stock Trading Brown Bag,ham 
14595,Fwd: Games,ham 
14596,girls from work enjoying sex,spam 
14597,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14598,"new pi,ll to increase org`asm plea,sure",spam 
14599,KINDLY READ THIS,spam 
14600,FW: College Football Best Bets,ham 
14601,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14602,",harder ere'ctions and more sp""erm",spam 
14603,=?GB2312?B?grGC6oLFgreCqYFI?=,spam 
14604,LV/Pastoria update,ham 
14605,~Best Online Pharmacy*~+',spam 
14606,Latino Caucus,ham 
14607,"=?utf-8?q?Modern way for decre?=
 =?utf-8?q?ase mass!?=",spam 
14608,=*~_Cheap Cialis=:_,spam 
14609,Industrial Plan,ham 
14610,This wi|| run higher with trade vO|ume way up,spam 
14611,FW: New Generation report for August,ham 
14612,Fast delivery prescripiton medicine,spam 
14613,"Enron HR Newsletter - September 7, 2001",ham 
14614,Exciting 100% Automated System! can earn you 6 Figure Income Online!,spam 
14615,The reason to shop online,spam 
14616,~+Cheap Cialis=.+-,spam 
14617,Enron Mentions,ham 
14618,Wanna get laid tommorrow?,spam 
14619,RE: EEI Master with PP&L Montana...,ham 
14620,"ENTREPRENEURSHIP AT HAAS Informational Meeting Tuesday Sept
  11th, C135, 12:30-2:00 pm  ",ham 
14621,The reason to shop online,spam 
14622,Corporate Sponsors Reception - FAQ,ham 
14623,A breathtaking b00st t0 yOur pOrtf0|iO,spam 
14624,Fwd: FW: Riddle from Paul Harvey,ham 
14625,The reason to shop online,spam 
14626,Low-priced prescripiton drvgs,spam 
14627,girls from work enjoying sex,spam 
14628,mnufacturer sales,ham 
14629,RE: Unocal Term Sheet,ham 
14630,RE: Testing PSW and Path confirmation for Target date 6/20,ham 
14631,Micr0sOft W0rks 7 clearance,spam 
14632,Cheap online tablets here,spam 
14633,"pil""l to impr`ove sper`m flavour and vol`ume",spam 
14634,Action Requested:  Past Due Invoice,ham 
14635,Draft Stipulation to limit the scope of the CA proceeding,ham 
14636,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14637,ÅéÂ¯ ÀÏ¹ÝÀÎ ·¹ÀÌ½Ì 1À§  »çÁø¸ðÀ½ js,spam 
14638,Tables Report - 9/6/01,ham 
14639,Missing Imbalance trades,ham 
14640,"Corporate Sponsors Reception - Save the Date - October 2, 2001",ham 
14641,=?koi8-r?B?VEXo7u/s7+fp6SDwUE9CReRF7unxIENP4lBB7unxIOHr4+nv7kXyT/cgwQ==?=,spam 
14642,Sending customer information from ENVISION,ham 
14643,Preliminary Environmental Timeline for Sun Devil Project,ham 
14644,ÀÚ±Ý¶§¹®¿¡ °í¹ÎÀÌ½ÅºÐ.. ¡ÚÃÖÀú±Ý¸®¡Ú°í¹Î ¸¶½Ã°í ¹Ù·Î ½ÅÃ»ÇÏ¼¼¿ä~~~ mca,spam 
14645,=?utf-8?B?UmVtaW5kZXI=?=,spam 
14646,=*~_Cheap Cialis=:_,spam 
14647,¢ÀÁ÷ÀåÀÎ ½Å¿ëÀ¸·Î ´ë.ÃâÀ» ½ÅÃ»100%½ÂÀÎ 5000¸¸¿ø¿ø±îÁö!,spam 
14648,Greatest online prescripiton here,spam 
14649,=?Windows-1251?B?8eXs6O3g8CDv7iDT0c0=?=,spam 
14650,,spam 
14651,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14652,Revised Agenda for Management Committee Offsite,ham 
14653,This wi|| run higher with trade vO|ume way up,spam 
14654,"simple \/AL11UM, AMB11EN, XANAAX, TUSSI0NEEX, C1AL1IS, \/11AGRRA, AD1PEX FROM $65 leave its for",spam 
14655,Your account has been created.,spam 
14656,*_Buy Cialis Online+:,spam 
14657,RE: car,ham 
14658,PICKS OF THE WEEK - WEEK 1,ham 
14659,Well!,spam 
14660,RE: ,ham 
14661,PC install P600,ham 
14662,RE: Trade Sactions,ham 
14663,Choose prescripiton drvgs,spam 
14664,Greatest online prescripiton here,spam 
14665,Choose prescripiton drvgs,spam 
14666,Physical at 10AM on Monday,ham 
14667,=?GB2312?B?grGC6oLFgreCqYFI?=,spam 
14668,RE: ReCap - RPS Extract Meeting (Todd Taylor),ham 
14669,Why make oracle m0re mOney,spam 
14670,Why make oracle m0re mOney,spam 
14671,A breathtaking b00st t0 yOur pOrtf0|iO,spam 
14672,This wi|| run higher with trade vO|ume way up,spam 
14673,An exciting c0mpany f0r invest0rs,spam 
14674,girls from work enjoying sex,spam 
14675,An exciting c0mpany f0r invest0rs,spam 
14676,RE: CTC - Stat(EESO),ham 
14677,fresh 9 - 16 years your faces from private drive studio wish,spam 
14678,RE: Panda Energy lateral,ham 
14679,This wi|| run higher with trade vO|ume way up,spam 
14680,¼Ò¸ÁÀÇ ¸Þ¼¼Áö[5463677805] Ã¥ÀÓÁ®¾ß ÇÕ´Ï´Ù ...,spam 
14681,=?ISO-2022-JP?B?GyRCJCIkSiQ/JE8kYiQmJF8kXiQ3JD8kKxsoQg==?=,spam 
14682,Softvware,spam 
14683,Vacation 9/12 & 9/20,ham 
14684,FW: El Paso #1110 Update (9/6),ham 
14685,Element Re,ham 
14686,News Update,spam 
14687,RE: Big day,ham 
14688,=?utf-8?B?Rnc6IFtzYWZlXSA4NSUtb2ZmIFZpY29kaW4uICBjaGVja3BvaW50cyBleGNlZWRz?=,spam 
14689,Xanax - 5 free pills                 `,spam 
14690,Cheat,spam 
14691,High v0lume bOunce On this st0ck,spam 
14692,FW: Enfolio agreement,ham 
14693,=?Windows-1251?B?x+Dt//Lo/yDy5e3t6PHu7CEg7C7P8O7r5fLg8PHq4P8g6CDk8C4g8ODp7u37?=,spam 
14694,Thirst,ham 
14695,Don't worry about keeping it up or lasting long wiht..,spam 
14696,RE: FERC Requirements for California Market Reporting,ham 
14697,Template 09-05-01,ham 
14698,,spam 
14699,Tenaska IV 8/01,ham 
14700,Enron Net Works LLC,ham 
14701,You could use this mhaedic@enron.com Complimentary,spam 
14702,RE: Notre Dame,ham 
14703,11-8-01 Testimony on Economic Stimulus Proposals,ham 
14704,RE: HYDA  -5,ham 
14705,FW: A.00-11-038 et al. (ALJ Pulsifer Ruling),ham 
14706,Holiday Party,ham 
14707,Men sex enhancers online,spam 
14708,Holiday Party,ham 
14709,how are you ?,spam 
14710,FW: A little humor,ham 
14711,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14712,"Lina - Age 23 - Tel Aviv, Israel",spam 
14713,,spam 
14714,¢¼È­ÈÑÀå½Ä ÀÚ°ÝÁõ ´©±¸³ª Ãëµæ °¡´É ÀÚ·á¹«·á¹è¼Û..@ dxpcoqt ds  k,spam 
14715,(LOTTERY WINNING NOTIFICATION),spam 
14716,RE: Job Descriptions,ham 
14717,=?iso-8859-1?B?VmlhZ3JhIC0gTWFyY2ggMjAwNSBzYWxl?=,spam 
14718,SalE-Mail!  Save up to 50% on our hottest new sale items.,spam 
14719,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14720,=?koi8-r?B?UuU6IO9wx8HOddrBw8nRINPLzMHEwSDJIGPOwcLWxc7J0SBl1A==?=,spam 
14721,"Monday, November 12 Conf. Call",ham 
14722,=?GB2312?B?gUaC8YFIgvGBSILxgUiPl4LMg1KCzIKmgsGCv4LIkcyMsZBskJSBSIFI?=,spam 
14723,Texas Intrastate Regulatory Action,ham 
14724,Prebon Energy has sent you a message,ham 
14725,Education Week newspaper - in-depth article revealing Relaxants,spam 
14726,Merger Communication Materials,ham 
14727,FW: A little humor,ham 
14728,=?ISO-2022-JP?B?GyRCOiNGfCRPJSslaSVAJCwkJiQ6JCQkQSRjJCYidhsoQg==?=,spam 
14729,BNP Paribras Master Netting,ham 
14730,Enron Daily Email Nov '01.xls,ham 
14731,MISO Registration,ham 
14732,FW: PG&E contracts 25841 & 26511,ham 
14733,100%´ëÃâ ¹«Á÷ÀÚ°Ç ÁÖºÎ°Ç ³ë¼÷ÀÚ°Ç ´©±¸³ª ¸ðµÎ ´çÀÏ 100% ÀÔ±ÝÇØµå¸³´Ï´Ù.,spam 
14734,RE: ,ham 
14735,"New England Congressional Delegation Letter to FERC on
	Northeast RTO Governance Structure",ham 
14736,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14737,Re: Pterty   Bitehcs big dick action,spam 
14738,RE: Enron Net Works LLC,ham 
14739,fwÎò ìàìû Àâòîìîáèëüíûé èîíèçàòîð      ,spam 
14740,Contact List,ham 
14741,Silicon Valley Business Ink : Empowering Silicon Valley Security and Terrorism Conference,ham 
14742,city wives soulmate,spam 
14743,,spam 
14744,how are you ?,spam 
14745,lonely ?!?;/,spam 
14746,RE: Genco/ROC,ham 
14747,¡¿±NÀtÀY©ñ¶i³±¹D¸Ì¨Ã¼¯À¿³±®B¡Âceases to exist,spam 
14748,±¤°í) ¼³¹®Âü¿©½Ã ÇÚµåÆù ¡Ú¦¶¢º Á¦¼¼°ø°ú±Ý¾øÀÌ +Á¶°Ç¾øÀÌ+Çö ÈÞ´ëÆù±×´ë·Î »ç¿ë! ¿Ïº®°øÂ¥~@ r tgid gg,spam 
14749,Order Here!,ham 
14750,RE: book access in ERMS,ham 
14751,Just a friendly reminder...,ham 
14752,Enron Announces Plans to Merge with Dynegy,ham 
14753,From the ENE/DYG Q&A on Enron's website,ham 
14754,"Good day Bro,  [7]",spam 
14755,TRV Notification:  (CE P/L - 11/09/2001),ham 
14756,We want to send you to Hawaii dscholt@ect.enron.com,spam 
14757,RE: Enron Net Works LLC,ham 
14758,"=?iso-2022-jp?Q?=1B$B""(L$>5Bz$H>5Bz9-9p""#=1B(B8=1B$B@i=1B(B?=
 =?iso-2022-jp?Q?=1B$BK|1=5F<}F~J}K!Ds6!%a%k%^%,=1B(B?=
 =?iso-2022-jp?Q?=1B$B""#=3F7G/$O!Z#52/#9@iK|1=5F>Z=1B(B?=
 =?iso-2022-jp?Q?=1B$B5rM-%S%8%M%9![$GL\E*C#@.=1B(B?=
 =?iso-2022-jp?Q?6=1B$B@iK|1=5F>Z5rM-<}F~J}K!$""=1B(B?=
 =?iso-2022-jp?Q?=1B$B$j$^$9!!=1B(B-=1B$B#6@iK|1=5F0J2<G/=1B(B?=
 =?iso-2022-jp?Q?=1B$B<}$NJ}$KBg4=3F7^$5$l$F$$$^=1B(B?=
 =?iso-2022-jp?Q?=1B$B$9=1B(B---=1B$BO@$h$j>Z5r$G$9!#!!=1B(B?=",spam 
14759,=?GB2312?B?gUaDWYNvg4qCqIvggsWCtYLlgUmBSQ==?=,spam 
14760,FW: Restaurant Order,ham 
14761,West NatGas Prices 1109,ham 
14762,(LOTTERY WINNING NOTIFICATION),spam 
14763,FW: Final War Economy Presentation.ppt,ham 
14764,"Lina - Age 23 - Tel Aviv, Israel",spam 
14765,¡¿¤T¤d´N¥i¥H¤Wªº¤k®Õ¤j¾Ç¥Í.accurately,spam 
14766,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14767,Conflict of Interest Policy Mailing to Vendors ,ham 
14768,want discount meds?,spam 
14769,Commissioner.COM E-Reports for Big E '01 11/10/01,ham 
14770,Good News! Enron Has Reached a Definitive Agreement with Dynergy,ham 
14771,11/8/01 MPR ,ham 
14772,"crestfallen AD00BE, AL1AS, P1NNACLE SYSTEM, NER0, APPLE, C0REL FROM $20 EACH gloss bryophyte",spam 
14773,Prebon Energy has sent you a message,ham 
14774,RE: Forecast for MGT,ham 
14775,Re: [CBB/65]-Medicationns,spam 
14776,PG&E ROFR,ham 
14777,Tha Unofficial Guide to the Spring 2002 Electives,ham 
14778,RE: trading track,ham 
14779,ÀÌÁ¤µµ¸é ¾ÆÁÖ ÁÁÀº ¸Þ¸®Æ® È®ÀÎÇØ º¸¼¼¿ä.  kbuh,spam 
14780,FW: Disputed Charge on TW October 2001 Firm Transportation Contract #	27606,ham 
14781,Enron Announces Plans to Merge with Dynegy,ham 
14782,=?iso-8859-1?B?Q2lhbGlzIC0gd2hvbGVzYWxlIHByaWNl?=,spam 
14783,Retainers,ham 
14784,ClickAtHome Order Verification,ham 
14785,(LOTTERY WINNING NOTIFICATION),spam 
14786,city wives soulmate,spam 
14787,re:[5]Ìàññàæíûå àïïàðàòû       ,spam 
14788,"RE: PNM Undercharged on TW's May, June, July, August and September 20	01 Firm Transportation Contract #24194",ham 
14789,PRO FOOTBALL EXTRA NEWSLETTER,ham 
14790,RE: Good News! Enron Has Reached a Definitive Agreement with Dynergy,ham 
14791,,spam 
14792,,spam 
14793,-´ëÃâÀº ÃÖ°íÇÑµµ±îÂî-ÀÌÀÚ´Â ÃÖÀúÀÌÀÚ-24½Ã°£¾È¿¡ ´ëÃâÇØµå¸®´Â-,spam 
14794,RE: WT-1 Spreadsheet,ham 
14795,why d0es your husband ppay sO much,spam 
14796,ERV Notification:  (Violation/Notification Memo - 11/08/2001),ham 
14797,HOT TEENS PICTURES AND MOVIES!,spam 
14798,Enron Mentions,ham 
14799,Enron Announces Plans to Merge with Dynegy,ham 
14800,=?iso-8859-1?B?Q2lhbGlzIC0gdmVyeSBsb3cgcHJpY2U=?=,spam 
14801,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14802,(LOTTERY WINNING NOTIFICATION),spam 
14803,Education Week newspaper - in-depth article revealing Relaxants,spam 
14804,=?koi8-r?B?VGXIzm/Mz8d1dSDzQ/Ag1yDEdWPUcHXC1cN1dSDMwQ==?=,spam 
14805,"°í°´¸¸Á· 1À§.,±¹³»ÃÖÀú ´ëÃâ°í¹Î ³¡!",spam 
14806,(LOTTERY WINNING NOTIFICATION),spam 
14807,"FW: A.98-07-003 - PHC-2 - NOV. 7, 2001",ham 
14808,"´ëÃâ½ÅÃ»Áï½Ã ´ëÃâÇÑµµ,±Ý¸® È®ÀÎ°¡´É!",spam 
14809,¼³¹®Á¶»ç¿¡ Âü¿©¸¸ ÇØµµ ¾öÃ»³­ ¼³¹®ÀÌ.. ÆãÆã.. nbjtlmxs bghzy  xlq,spam 
14810,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14811,ÀÎÅÍ³Ý°¡ÀÔ½Ã 6°³¿ù¹«·á+MP3.GPS.PS2.ÀüÀÚ·»Áö.Ä®¶óÇÁ¸°ÅÍ!!!,spam 
14812,NEW CHANGE:   Global Government Affairs Conf. Call - UPDATE,ham 
14813,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14814,"PC GAMES FROM, MACR0MEDIA, M1CR0S0FT, SYMANNTEC $20 EACH   ",spam 
14815,fwÎò ìàìû Àâòîìîáèëüíûé èîíèçàòîð      ,spam 
14816,Enron Announces Plans to Merge with Dynegy,ham 
14817,IMPORTANT MESSAGE FROM RICK SHAPIRO,ham 
14818,"Hey man -  the cheappesst V.|.C.O,D_I^N",spam 
14819,Enron Announces Plans to Merge with Dynegy,ham 
14820,Kobra  Application,ham 
14821,Eletrobolt,ham 
14822,Men sex enhancers online,spam 
14823,Merger Communication Materials,ham 
14824,"mark.Whitt
 =?Big5?B?sXqmbjqhaSAgq/eye6r3LLu7sbG+9765pEgsu7uxsa24vvcsu7uxsaiuLKXLtLVC?=",spam 
14825,¡ð¯µ®Ñ°µ·R®É³ß·R¤£®ÉÅÜ´««º¶Õ.ribbons,spam 
14826,FW: Fw: It depends on whose hands it's in...,ham 
14827,Medications for you!,spam 
14828,Regulatory and Legislative Report,ham 
14829,Pretty Final Draft of INGAA Response on PP&E Exposure Draft,ham 
14830,=?ISO-2022-JP?B?GyRCIi4bKEJTVE9QIFRIRSAbJEIlKCVzJTMhXSIuGyhC?=,spam 
14831,re:[5]Ìàññàæíûå àïïàðàòû       ,spam 
14832,Education Week newspaper - in-depth article revealing Relaxants,spam 
14833,Prebon Energy has sent you a message,ham 
14834,FW: CONFIDENTIAL: Insider trading charges levied,ham 
14835,SoCalGas Advice Letter Summary,ham 
14836,"Netting Agreement Request - ConEd Energy Inc. and ConEd Energy Solutions, Inc.",ham 
14837,SDG&E Advice Letter Summaries,ham 
14838,Re: TV Spot on BEAR,ham 
14839,Education Week newspaper - in-depth article revealing Relaxants,spam 
14840,,spam 
14841,The Insider from Travelocity.com,spam 
14842,"RE: Your request for authorization to sign J.Aron & Company  Currency Option Transaction termination (""Termination"")",ham 
14843,Ä«µå´ë³³±Ý¸® ±¹³»ÃÖÀú ¹«Á÷ÀÚ¶óµµ ´çÀÏ100% ÀÔ±ÝÇØµå¸³´Ï´Ù.,spam 
14844,=?koi8-r?B?UkU6IO/Sx8HOydrBw8nRINPLzMHEwSDJINPOwcLWxc7J0SDR?=,spam 
14845,November 8 edition,ham 
14846,¥Ö¥d©f£xµL¥Þ¤ò¹àÀjªñ©ç¯S¼gceases to exist,spam 
14847,=?iso-8859-1?B?VmlhZ3JhIC0gTm8gcHJlc2NyaXB0aW9uIG5lZWRlZCE=?=,spam 
14848,"M1CR0S0FT, SYMANNTEC, MACR0MEDIA, PC GAMES FROM $20 EACH  ",spam 
14849,Enron Announces Plans to Merge with Dynegy,ham 
14850,RE: test,ham 
14851,RE: Power Trader Setup _ GCP Response - Complete,ham 
14852,Get Laid Tonight : Don't you need someone to love,spam 
14853,Hot Deals from Harrah's ,spam 
14854,trading track,ham 
14855,Continental Airlines Vacations Special Deals,spam 
14856,ÁýÀüÈ­º¸´Ù Àú·ÅÇÔ Æù ¾ÈÆù ÇÚµåÆù±â´É±îÁö~~ rsvsuufn scmrjfq,spam 
14857,IMPORTANT VIDEO ANNOUNCEMENT,ham 
14858,RE: Robert Chisholm LOI,ham 
14859,Re: Pretty girl wants to meet a real man,spam 
14860,The Insider from Travelocity.com,spam 
14861,Somebody snuck a camera,spam 
14862,¡Ú¡Ù¿õÁøÄÚ¿þÀÌ ¹«·áÃ¼Çè´ÜÀ¸·Î ¼±Á¤µÇ¼Ì½À´Ï´Ù!! n,spam 
14863,Economist Speaking Invitation,ham 
14864,=?iso-8859-1?B?VmlhZ3JhIC0gNzUlIE9GRg==?=,spam 
14865,Enron Announces Plans to Merge with Dynegy,ham 
14866,Education Week newspaper - in-depth article revealing Relaxants,spam 
14867,Paris loves vaigra men,spam 
14868,=?GB2312?B?ss6806G2yczO8cDx0se/zrPMobfLzTkwMM/WvfA=?=,spam 
14869,FW: Top ten uses for the new Enron building,ham 
14870,RE: Move to Enron Center south,ham 
14871,=?koi8-r?B?T1DnQe7p+kHj6fEg8EVQ8+/uQexBIEIgQ+lDVEVN5SDr4f5F8/T34SDa?=,spam 
